year,month,date,carrier,carrier_name,type,n_flights
2003,6,2003-06,AA,American Airlines Inc.,On Time,502
2003,6,2003-06,AA,American Airlines Inc.,Delayed,115
2003,6,2003-06,AS,Alaska Airlines Inc.,On Time,313
2003,6,2003-06,AS,Alaska Airlines Inc.,Delayed,60
2003,6,2003-06,B6,JetBlue Airways,On Time,5
2003,6,2003-06,B6,JetBlue Airways,Delayed,0
2003,6,2003-06,CO,Continental Air Lines Inc.,On Time,204
2003,6,2003-06,CO,Continental Air Lines Inc.,Delayed,52
2003,6,2003-06,DL,Delta Air Lines Inc.,On Time,327
2003,6,2003-06,DL,Delta Air Lines Inc.,Delayed,119
2003,6,2003-06,HP,America West Airlines Inc.,On Time,322
2003,6,2003-06,HP,America West Airlines Inc.,Delayed,38
2003,6,2003-06,MQ,American Eagle Airlines Inc.,On Time,695
2003,6,2003-06,MQ,American Eagle Airlines Inc.,Delayed,107
2003,6,2003-06,NW,Northwest Airlines Inc.,On Time,157
2003,6,2003-06,NW,Northwest Airlines Inc.,Delayed,53
2003,6,2003-06,OO,SkyWest Airlines Inc.,On Time,598
2003,6,2003-06,OO,SkyWest Airlines Inc.,Delayed,27
2003,6,2003-06,UA,United Air Lines Inc.,On Time,554
2003,6,2003-06,UA,United Air Lines Inc.,Delayed,104
2003,6,2003-06,US,US Airways Inc.,On Time,113
2003,6,2003-06,US,US Airways Inc.,Delayed,79
2003,6,2003-06,WN,Southwest Airlines Co.,On Time,2009
2003,6,2003-06,WN,Southwest Airlines Co.,Delayed,298
2003,7,2003-07,AA,American Airlines Inc.,On Time,523
2003,7,2003-07,AA,American Airlines Inc.,Delayed,113
2003,7,2003-07,AS,Alaska Airlines Inc.,On Time,304
2003,7,2003-07,AS,Alaska Airlines Inc.,Delayed,91
2003,7,2003-07,B6,JetBlue Airways,On Time,43
2003,7,2003-07,B6,JetBlue Airways,Delayed,6
2003,7,2003-07,CO,Continental Air Lines Inc.,On Time,222
2003,7,2003-07,CO,Continental Air Lines Inc.,Delayed,51
2003,7,2003-07,DL,Delta Air Lines Inc.,On Time,384
2003,7,2003-07,DL,Delta Air Lines Inc.,Delayed,62
2003,7,2003-07,HP,America West Airlines Inc.,On Time,315
2003,7,2003-07,HP,America West Airlines Inc.,Delayed,57
2003,7,2003-07,MQ,American Eagle Airlines Inc.,On Time,751
2003,7,2003-07,MQ,American Eagle Airlines Inc.,Delayed,104
2003,7,2003-07,NW,Northwest Airlines Inc.,On Time,178
2003,7,2003-07,NW,Northwest Airlines Inc.,Delayed,39
2003,7,2003-07,OO,SkyWest Airlines Inc.,On Time,579
2003,7,2003-07,OO,SkyWest Airlines Inc.,Delayed,53
2003,7,2003-07,UA,United Air Lines Inc.,On Time,576
2003,7,2003-07,UA,United Air Lines Inc.,Delayed,120
2003,7,2003-07,US,US Airways Inc.,On Time,133
2003,7,2003-07,US,US Airways Inc.,Delayed,78
2003,7,2003-07,WN,Southwest Airlines Co.,On Time,2014
2003,7,2003-07,WN,Southwest Airlines Co.,Delayed,381
2003,8,2003-08,AA,American Airlines Inc.,On Time,518
2003,8,2003-08,AA,American Airlines Inc.,Delayed,119
2003,8,2003-08,AS,Alaska Airlines Inc.,On Time,293
2003,8,2003-08,AS,Alaska Airlines Inc.,Delayed,99
2003,8,2003-08,B6,JetBlue Airways,On Time,51
2003,8,2003-08,B6,JetBlue Airways,Delayed,11
2003,8,2003-08,CO,Continental Air Lines Inc.,On Time,223
2003,8,2003-08,CO,Continental Air Lines Inc.,Delayed,45
2003,8,2003-08,DL,Delta Air Lines Inc.,On Time,379
2003,8,2003-08,DL,Delta Air Lines Inc.,Delayed,81
2003,8,2003-08,HP,America West Airlines Inc.,On Time,310
2003,8,2003-08,HP,America West Airlines Inc.,Delayed,62
2003,8,2003-08,MQ,American Eagle Airlines Inc.,On Time,793
2003,8,2003-08,MQ,American Eagle Airlines Inc.,Delayed,63
2003,8,2003-08,NW,Northwest Airlines Inc.,On Time,179
2003,8,2003-08,NW,Northwest Airlines Inc.,Delayed,38
2003,8,2003-08,OO,SkyWest Airlines Inc.,On Time,597
2003,8,2003-08,OO,SkyWest Airlines Inc.,Delayed,33
2003,8,2003-08,UA,United Air Lines Inc.,On Time,573
2003,8,2003-08,UA,United Air Lines Inc.,Delayed,118
2003,8,2003-08,US,US Airways Inc.,On Time,145
2003,8,2003-08,US,US Airways Inc.,Delayed,66
2003,8,2003-08,WN,Southwest Airlines Co.,On Time,2076
2003,8,2003-08,WN,Southwest Airlines Co.,Delayed,327
2003,9,2003-09,AA,American Airlines Inc.,On Time,559
2003,9,2003-09,AA,American Airlines Inc.,Delayed,51
2003,9,2003-09,AS,Alaska Airlines Inc.,On Time,325
2003,9,2003-09,AS,Alaska Airlines Inc.,Delayed,29
2003,9,2003-09,B6,JetBlue Airways,On Time,82
2003,9,2003-09,B6,JetBlue Airways,Delayed,6
2003,9,2003-09,CO,Continental Air Lines Inc.,On Time,196
2003,9,2003-09,CO,Continental Air Lines Inc.,Delayed,33
2003,9,2003-09,DL,Delta Air Lines Inc.,On Time,376
2003,9,2003-09,DL,Delta Air Lines Inc.,Delayed,69
2003,9,2003-09,HP,America West Airlines Inc.,On Time,284
2003,9,2003-09,HP,America West Airlines Inc.,Delayed,46
2003,9,2003-09,MQ,American Eagle Airlines Inc.,On Time,828
2003,9,2003-09,MQ,American Eagle Airlines Inc.,Delayed,50
2003,9,2003-09,NW,Northwest Airlines Inc.,On Time,156
2003,9,2003-09,NW,Northwest Airlines Inc.,Delayed,25
2003,9,2003-09,OO,SkyWest Airlines Inc.,On Time,588
2003,9,2003-09,OO,SkyWest Airlines Inc.,Delayed,31
2003,9,2003-09,UA,United Air Lines Inc.,On Time,579
2003,9,2003-09,UA,United Air Lines Inc.,Delayed,43
2003,9,2003-09,US,US Airways Inc.,On Time,152
2003,9,2003-09,US,US Airways Inc.,Delayed,23
2003,9,2003-09,WN,Southwest Airlines Co.,On Time,2179
2003,9,2003-09,WN,Southwest Airlines Co.,Delayed,178
2003,10,2003-10,AA,American Airlines Inc.,On Time,603
2003,10,2003-10,AA,American Airlines Inc.,Delayed,59
2003,10,2003-10,AS,Alaska Airlines Inc.,On Time,289
2003,10,2003-10,AS,Alaska Airlines Inc.,Delayed,64
2003,10,2003-10,B6,JetBlue Airways,On Time,92
2003,10,2003-10,B6,JetBlue Airways,Delayed,1
2003,10,2003-10,CO,Continental Air Lines Inc.,On Time,215
2003,10,2003-10,CO,Continental Air Lines Inc.,Delayed,20
2003,10,2003-10,DL,Delta Air Lines Inc.,On Time,401
2003,10,2003-10,DL,Delta Air Lines Inc.,Delayed,58
2003,10,2003-10,HP,America West Airlines Inc.,On Time,292
2003,10,2003-10,HP,America West Airlines Inc.,Delayed,45
2003,10,2003-10,MQ,American Eagle Airlines Inc.,On Time,841
2003,10,2003-10,MQ,American Eagle Airlines Inc.,Delayed,104
2003,10,2003-10,NW,Northwest Airlines Inc.,On Time,152
2003,10,2003-10,NW,Northwest Airlines Inc.,Delayed,34
2003,10,2003-10,OO,SkyWest Airlines Inc.,On Time,568
2003,10,2003-10,OO,SkyWest Airlines Inc.,Delayed,72
2003,10,2003-10,UA,United Air Lines Inc.,On Time,534
2003,10,2003-10,UA,United Air Lines Inc.,Delayed,105
2003,10,2003-10,US,US Airways Inc.,On Time,153
2003,10,2003-10,US,US Airways Inc.,Delayed,22
2003,10,2003-10,WN,Southwest Airlines Co.,On Time,2174
2003,10,2003-10,WN,Southwest Airlines Co.,Delayed,308
2003,11,2003-11,AA,American Airlines Inc.,On Time,421
